interactor A gene symbol	 interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
MAP2K4	FLNC	P45985	Q14315
MYPN	ACTN2	Q86TC9	P35609
ACVR1	FNTA	Q04771	P49354
GATA2	PML	P23769	P29590
RPA2	STAT3	P15927	P40763
ARF1	GGA3	P84077	Q9NZ52
ARF3	ARFIP2	P61204	P53365
ARF3	ARFIP1	P61204	P53367
XRN1	ALDOA	Q8IZH2	P04075
APP	APPBP2	P05067	Q92624
APLP1	DAB1	P51693	O75553
CITED2	TFAP2A	Q99967	P05549
EP300	TFAP2A	Q09472	P05549
APOB	MTTP	P04114	P55157
ARRB2	RALGDS	P32121	Q12967
CSF1R	GRB2	P07333	P62993
PRRC2A	GRB2	P48634	P62993
LSM1	NARS	O15116	O43776
SLC4A1	SLC4A1AP	P02730	Q9BWU0
BCL3	BARD1	P20749	Q99728
ADRB1	GIPC1	P08588	O14908
BRCA1	ATF1	P38398	P18846
BRCA1	MSH2	P38398	P43246
BRCA1	BARD1	P38398	Q99728
BRCA1	MSH6	P38398	P52701
ARVCF	CDH15	O00192	P55291
PCBD1	CACNA1C	P61457	Q13936
PSEN2	CAPN1	P49810	P07384
CAPN3	TTN	P20807	Q8WZ42
ITPR1	CA8	Q14643	P35219
MAGI1	CTNNB1	Q96QZ7	P35222
RB1	CUX1	P06400	Q13948|P39880
TSG101	CDKN1A	Q99816	P38936
ORC1	MCM2	Q13415	P49736
ORC4	MCM2	O43929	P49736
MCM5	MCM2	P33992	P49736
CDC7	MCM2	O00311	P49736
ORC2	MCM2	Q13416	P49736
RPA2	MCM2	P15927	P49736
DBF4	MCM2	Q9UBU7	P49736
AKAP8	MCM2	O43823	P49736
MCM2	MCM2	P49736	P49736
RPA1	MCM2	P27694	P49736
RPA3	MCM2	P35244	P49736
ORC5	MCM2	O43913	P49736
MCM3	MCM2	P25205	P49736
YWHAZ	CDC25A	P63104	P30304
DOCK8	CDC42	Q8NF50	P60953
TRIP10	CDC42	Q15642	P60953
CDKN3	CDK2	Q16667	P24941
RBBP8	RBL1	Q99708	P28749
HAND2	CENPB	P61296	P07199
CLTC	HGS	Q00610	O14964
IGFBP3	COL1A1	P17936	P02452
TXN	COL1A1	P10599	P02452
ATF2	SMAD3	P15336	P84022
ATF2	SMAD4	P15336	Q13485
CCND3	EIF3K	P30281	Q9UBQ5
RALBP1	CCNB1	Q15311	P14635
PPIB	CAMLG	P23284	P49069
CSRP1	CSRP1	P21291	P21291
CSK	INSR	P41240	P06213
CSK	IGF1R	P41240	P08069
DCN	EGFR	P07585	P00533
SIM2	ARNT	Q14190	P27540
SIM1	ARNT	P81133	P27540
NPAS4	ARNT	Q8IUM7	P27540
HBEGF	ZBTB16	Q99075	Q05516
PCNA	GADD45A	P12004	P24522
TOPBP1	TOP2B	Q92547	Q02880
FLNA	DRD3	P21333	P35462
LSM3	SNRPE	P62310	P62304
LSM4	SNRPE	Q9Y4Z0	P62304
LSM5	SNRPE	Q9Y4Y9	P62304
EP300	EGR1	Q09472	P18146
CREBBP	EGR1	Q92793	P18146
NUMA1	EPB41	Q14980	P11171
EXOSC4	EEF1A1	Q9NPD3	P68104
PLCG1	EEF1A1	P19174	P68104
KTN1	EEF1D	Q86UP2	P29692
KDR	ANXA5	P35968	P08758
PPARGC1B	ESR1	Q86YN6	P03372
SMARCA4	ESR1	P51532	P03372
DDX54	ESR1	Q8TDD1	P03372
ESR1	DNTTIP2	P03372	Q5QJE6
FGFR1	FDPS	P11362	P14324
TGFB1	FNTA	P01137	P49354
SUMO1	FAS	P63165	P25445
MPP6	FTL	Q9NZW5	P02792
PRRC2A	FGA	P48634	P02671
FLNA	ITGB1	P21333	P05556
FGFR1	FRS3	P11362	O43559
GABRG2	GABARAP	P18507	O95166
SFN	NR3C1	P31947	P04150
TGFB1I1	NR3C1	O43294	P04150
NR3C1	ECD	P04150	O95905
GCK	PFKFB2	P35557	O60825
HSPA5	DPH1	P11021	Q9BZG8
SLC2A2	KPNA2	P11168	P52292
SLC2A4	DAXX	P14672	Q9UER7
GRIK2	SDCBP	Q13002	O00560
GRIK2	PICK1	Q13002	Q9NRD5
GRIK1	PICK1	P39086	Q9NRD5
GRIK1	SDCBP	P39086	O00560
CCNT1	GRN	O60563	P28799
RGS19	GNAZ	P49795	P19086
RGS19	GNAO1	P49795	P09471
RGS19	GNAI2	P49795	P04899
RGS19	GNAI3	P49795	P08754
HSF2	UBE2I	Q03933	P63279
LIMK1	NRG1	P53667	Q02297
FGF7	HSPG2	P21781	P98160
PRRC2A	MAD2L2	P48634	Q9UI95
PRRC2A	P4HA2	P48634	O15460
PRRC2A	CCR10	P48634	P46092
C1QBP	PRRC2A	Q07021	P48634
EIF3E	PRRC2A	P60228	P48634
PRRC2A	GANAB	P48634	Q14697
HNRNPA1	PRRC2A	P09651	P48634
PRRC2A	PSMA3	P48634	P25788
HNRNPM	PRRC2A	P52272	P48634
PRRC2A	MAN2C1	P48634	Q9NTJ4
PRRC2A	SSR3	P48634	Q9UNL2
PRRC2A	DDX20	P48634	Q9UHI6
UBAP2L	PRRC2A	Q14157	P48634
IMMT	PRRC2A	Q16891	P48634
PRRC2A	CPSF1	P48634	Q10570
PRRC2A	PRMT2	P48634	P55345
PRRC2A	QARS	P48634	P47897
IFT88	PRRC2A	Q13099	P48634
XRN1	BAG6	Q8IZH2	P46379
HTT	SETD2	P42858	Q9BYW2
HAP1	HTT	P54257	P42858
HTT	ZDHHC17	P42858	Q8IUH5
HYPK	HTT	Q9NX55	P42858
TRIP10	HTT	Q15642	P42858
MEF2D	YWHAQ	Q14814	P27348
TCF3	HAND2	P15923	P61296
TCF3	ID3	P15923	Q02535
IGF1R	IRS1	P08069	P35568
YWHAE	IGF1R	P62258	P08069
SOCS1	IGF1R	O15524	P08069
PTK2	IRS1	Q05397	P35568
MAPK8	IRS1	P45983	P35568
INSR	IRS1	P06213	P35568
IL1A	NDN	P01583	Q99608
JAK2	PRMT5	O60674	O14744
JAK2	SOCS1	O60674	O15524
BYSL	KRT8	Q13895	P05787
KRT18	CBL	P05783	P22681
KRT18	DNAJB6	P05783	O75190
LMNA	LMNB1	P02545	P20700
